source_row,source_numero,sede,dependencia,subdependencia,marca,modelo,tipo_impresora,serie,codigo_inventario,codigo_patrimonial,tipo_conexion,ip,hostname_origen,modelo_toner_negro,modelo_toner_c,modelo_toner_m,modelo_toner_y,estado,status,observaciones
48,132,Sede Central,Oficina de Planeamiento y Presupuesto,Unidad de Presupuesto,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000075,202416426,74222358-0347,IP,172.16.62.78,CL5N000075,TL-5120X,,,,Activa,IMPORTAR,
49,2,Sede Central,Presidencia Ejecutiva,,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000139,,742222358-0327,USB,,,TL-5120X,,,,Activa,IMPORTAR,
50,3,Sede Central,Presidencia Ejecutiva,,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000053,,,USB,,,TL-5120X,,,,Activa,IMPORTAR,
51,10,Sede Central,Gerencia General,,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000140,202415401,742222358-0335,USB,,,TL-5120X,,,,Activa,IMPORTAR,
52,11,Sede Central,Gerencia General,,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000070,,,USB,,,TL-5120X,,,,Activa,IMPORTAR,
53,15,Sede Central,Gerencia General,Unidad de Comunicaciones e Imagen Institucional,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000023,202419902,74222358-0333,USB,,,TL-5120X,,,,Activa,IMPORTAR,
54,24,Sede Central,Gerencia General,Unidad de Atencion al Ciudadano y Gestion Documental,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000038,202419701,74222358-0328,USB,,,TL-5120X,,,,Activa,IMPORTAR,
55,111,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000068,202406904,74222358-0344,USB,,,TL-5120X,,,,Activa,IMPORTAR,
56,113,Sede Central,Oficina de Administracion,,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000028,202406069,74222358-0339,IP,,,TL-5120X,,,,Activa,IMPORTAR,
57,145,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Productos Agrarios,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000050,202415105,74222358-0348,USB,,,TL-5120X,,,,Activa,IMPORTAR,
58,180,Sede Central,Oficina de Control Institucional,,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000095,202411216,74222358-0340,USB,,,TL-5120X,,,,Activa,IMPORTAR,
59,28,Sede Central,Direccion de Gestion de la Innovacion Agraria,,OKI,ES8473MFP,Impresora multifuncional laser a color,AL6C047522,202412040,74222358-0213,USB,,,,,,,Activa,IMPORTAR,
60,44,Sede Central,Direccion de Servicios Estrategicos Agrarios,,CANON,IMAGE RUNNER ADVANCE DX 6855I,Fotocopiadora multifuncional,35X00512,202405275,74222358-0316,IP,172.16.23.103,,,,,,Activa,IMPORTAR,
61,55,Sede Central,Direccion de Servicios Estrategicos Agrarios,Subdireccion de Extension Agropecuario,CANON,IMAGEPRESS SERVER H350,Server,A00089230,202416442,,IP,172.16.23.46,,,,,,Activa,IMPORTAR,
